service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
31914,0,0,0,0,0,1,1,20250614,20260701
31912,1,1,1,1,1,0,0,20250611,20260701
31913,1,1,1,1,1,0,0,20250611,20260701
31516,1,1,1,1,1,0,0,20250602,20260701
31786,0,0,0,0,0,1,1,20250531,20260701
31905,0,0,0,0,0,1,1,20250614,20260701
30713,1,1,1,1,1,0,0,20250317,20260701
31934,0,0,0,0,0,1,1,20250614,20260701
31933,1,1,1,1,1,0,0,20250611,20260701
31906,1,1,1,1,1,0,0,20250611,20260701
30355,0,0,0,0,0,1,1,20241019,20260701
31361,1,1,1,1,1,0,0,20250321,20260701
29906,0,0,0,0,0,1,1,20241019,20260701
31936,0,0,0,0,0,1,1,20250614,20260701
31935,1,1,1,1,1,0,0,20250611,20260701
30906,1,1,1,1,1,0,0,20250317,20260701
30905,0,0,0,0,0,1,1,20250315,20260701
31916,0,0,0,0,0,1,1,20250614,20260701
31915,1,1,1,1,1,0,0,20250611,20260701
31938,0,0,0,0,0,1,1,20250614,20260701
31937,1,1,1,1,1,0,0,20250611,20260701
31517,1,1,1,1,1,0,0,20250602,20260701
31372,0,0,0,0,0,1,1,20250405,20260701
31224,0,0,0,0,0,1,1,20250405,20260701
30949,1,1,1,1,1,0,0,20250317,20260701
30950,1,1,1,1,1,0,0,20250317,20260701
31939,1,1,1,1,1,0,0,20250611,20260701
31940,0,0,0,0,0,1,1,20250614,20260701
31950,0,0,0,0,0,1,1,20250614,20260701
31949,1,1,1,1,1,0,0,20250611,20260701
31962,1,1,1,1,1,0,0,20250611,20260701
30915,0,0,0,0,0,1,1,20250315,20260701
31541,1,1,1,1,1,0,0,20250602,20260701
31327,1,1,1,1,1,0,0,20250602,20260701
31542,1,1,1,1,1,0,0,20250602,20260701
30920,0,0,0,0,0,1,1,20250315,20260701
31952,0,0,0,0,0,1,1,20250614,20260701
31951,1,1,1,1,1,0,0,20250611,20260701
31945,0,0,0,0,0,1,1,20250614,20260701
31946,0,0,0,0,0,1,1,20250614,20260701
31943,1,1,1,1,1,0,0,20250611,20260701
31917,0,0,0,0,0,1,1,20250614,20260701
31948,0,0,0,0,0,1,1,20250614,20260701
31947,1,1,1,1,1,0,0,20250611,20260701
31942,1,1,1,1,1,0,0,20250611,20260701
31944,1,1,1,1,1,0,0,20250611,20260701
30939,1,1,1,1,1,0,0,20250317,20260701
30940,0,0,0,0,0,1,1,20250315,20260701
31927,0,0,0,0,0,1,1,20250614,20260701
31926,1,1,1,1,1,0,0,20250611,20260701
31362,1,1,1,1,1,0,0,20250321,20260701
31119,0,0,0,0,0,1,1,20250405,20260701
31473,1,1,1,1,1,0,0,20250407,20260701
31474,0,0,0,0,0,1,1,20250405,20260701
31394,1,1,1,1,1,0,0,20250401,20260701
31383,1,1,1,1,1,0,0,20250401,20260701
31328,0,0,0,0,0,1,1,20250531,20260701
31309,1,1,1,1,1,0,0,20250401,20260701
29562,0,0,0,0,0,1,1,20240907,20260701
29865,0,0,0,0,0,1,1,20241207,20260701
29866,0,0,0,0,0,1,1,20241207,20260701
29864,0,0,0,0,0,1,1,20241207,20260701
29840,1,1,1,1,1,0,0,20241202,20260701
29841,1,1,1,1,1,0,0,20241202,20260701
31164,1,1,1,1,1,0,0,20250317,20260701
29560,0,0,0,0,0,1,1,20240907,20260701
31901,1,1,1,1,1,0,0,20250611,20260701
31476,0,0,0,0,0,1,1,20250405,20260701
31794,0,0,0,0,0,1,1,20250607,20260701
31795,0,0,0,0,0,1,1,20250607,20260701
31340,1,1,1,1,1,0,0,20250428,20260701
31959,0,0,0,0,0,1,1,20250614,20260701
31957,1,1,1,1,1,0,0,20250611,20260701
31958,1,1,1,1,1,0,0,20250611,20260701
31954,0,0,0,0,0,1,1,20250614,20260701
31953,1,1,1,1,1,0,0,20250611,20260701
31921,0,0,0,0,0,1,1,20250614,20260701
31919,1,1,1,1,1,0,0,20250611,20260701
31920,1,1,1,1,1,0,0,20250611,20260701
31922,0,0,0,0,0,1,1,20250614,20260701
29909,1,1,1,1,1,0,0,20241021,20260701
